"","Player","State","Total","rtg_pre","avg_opponent_rtg"
"1","GARY HUA","ON","6.0",1794,1572
"2","DAKSHESH DARURI","MI","6.0",1553,1469
"3","ADITYA BAJAJ","MI","6.0",1384,1564
"4","PATRICK H SCHILLING","MI","5.5",1716,1515
"5","HANSHI ZUO","MI","5.5",1655,1365
"6","HANSEN SONG","OH","5.0",1686,1533
"7","GARY DEE SWATHELL","MI","5.0",1649,1372
"8","EZEKIEL HOUGHTON","MI","5.0",1641,1468
"9","STEFANO LEE","ON","5.0",1411,1523
"10","ANVIT RAO","MI","5.0",1365,1518
"11","CAMERON WILLIAM MC LEMAN","MI","4.5",1712,1475
"12","KENNETH J TACK","MI","4.5",1663,1397
"13","TORRANCE HENRY JR","MI","4.5",1666,1472
"14","BRADLEY SHAW","MI","4.5",1610,1509
"15","ZACHARY JAMES HOUGHTON","MI","4.5",1220,1470
"16","MIKE NIKITIN","MI","4.0",1604,1391
"17","RONALD GRZEGORCZYK","MI","4.0",1629,1499
"18","DAVID SUNDEEN","MI","4.0",1600,1480
"19","DIPANKAR ROY","MI","4.0",1564,1451
"20","JASON ZHENG","MI","4.0",1595,1411
"21","DINH DANG BUI","ON","4.0",1563,1470
"22","EUGENE L MCCLURE","MI","4.0",1555,1373
"23","ALAN BUI","ON","4.0",1363,1214
"24","MICHAEL R ALDRICH","MI","4.0",1229,1357
"25","LOREN SCHWIEBERT","MI","3.5",1745,1357
"26","MAX ZHU","ON","3.5",1579,1518
"27","GAURAV GIDWANI","MI","3.5",1552,1144
"28","SOFIA ADINA STANESCU-BELLU","MI","3.5",1507,1505
"29","CHIEDOZIE OKORIE","MI","3.5",1602,1239
"30","GEORGE AVERY JONES","ON","3.5",1522,1141
"31","RISHI SHETTY","MI","3.5",1494,1272
"32","JOSHUA PHILIP MATHEWS","ON","3.5",1441,1345
"33","JADE GE","MI","3.5",1449,1264
"34","MICHAEL JEFFERY THOMAS","MI","3.5",1399,1314
"35","JOSHUA DAVID LEE","MI","3.5",1438,1186
"36","SIDDHARTH JHA","MI","3.5",1355,1343
"37","AMIYATOSH PWNANANDAM","MI","3.5",980,1385
"38","BRIAN LIU","MI","3.0",1423,1505
"39","JOEL R HENDON","MI","3.0",1436,1430
"40","FOREST ZHANG","MI","3.0",1348,1391
"41","KYLE WILLIAM MURPHY","MI","3.0",1403,1248
"42","JARED GE","MI","3.0",1332,1225
"43","ROBERT GLEN VASEY","MI","3.0",1283,1107
"44","JUSTIN D SCHILLING","MI","3.0",1199,1327
"45","DEREK YAN","MI","3.0",1242,1182
"46","JACOB ALEXANDER LAVALLEY","MI","3.0",377,1358
"47","ERIC WRIGHT","MI","2.5",1362,1456
"48","DANIEL KHAIN","MI","2.5",1382,1461
"49","MICHAEL J MARTIN","MI","2.5",1291,1364
"50","SHIVAM JHA","MI","2.5",1056,1296
"51","TEJAS AYYAGARI","MI","2.5",1011,1355
"52","ETHAN GUO","MI","2.5",935,1522
"53","JOSE C YBARRA","MI","2.0",1393,1345
"54","LARRY HODGE","MI","2.0",1270,1206
"55","ALEX KONG","MI","2.0",1186,1425
"56","MARISA RICCI","MI","2.0",1153,1414
"57","MICHAEL LU","MI","2.0",1092,1363
"58","VIRAJ MOHILE","MI","2.0",917,1391
"59","SEAN M MC CORMICK","MI","2.0",853,1319
"60","JULIA SHEN","MI","1.5",967,1359
"61","JEZZEL FARKAS","ON","1.5",955,1326
"62","ASHWIN BALAJI","MI","1.0",1530,1186
"63","THOMAS JOSEPH HOSMER","MI","1.0",1175,1365
"64","BEN LI","MI","1.0",1163,1206
